College Name,Address,District,State,Contact number,Email id,Website
"A A R Mahaveer Engineering College, Hyderabad","Vyasapuri, Bandlaguda, Post: Keshavgiri,  Hyderabad,HyderabadAndhra Pradesh500005",Hyderabad,Andhra Pradesh,"+ 91 - 70322 11640, 641, 642, 643, 644, 645   	  	          98499 44411, 98495 16669, 95420 01907",aarm.admissions@gmail.com,http://www.aarm.ac.in/
"A B M S Ps Anantrao Pawar College Of Engineering And Research, Pune","S. No. 103, Shahu College Road, Parvati Ramana,  Pune,PuneMaharashtra411009",Pune,Maharashtra,020-24218901 / 24218959 / 24213929,abmspcoe@yahoo.com,http://www.abmspcoerpune.org
"A B R College Of Engineering And Technology, Prakasam","ABR NAGAR, Chinairlapadu Village, Kandukur Road, Kanigiri, Prakasam,PrakasamAndhra Pradesh523234",Prakasam,Andhra Pradesh,"9866461623, 990804003, 9666079509, 9493327814",info@abrcollege.com,http://abrcollege.com/
"A B S Institute Of Education And Management, Nagpur","1st Floor, Plot No. 43/A, Opp. S?iddhi Hanuman Mandir, Laxmi Nagar,  Nagpur,NagpurMaharashtra440022",Nagpur,Maharashtra,0712-6580999 / +91-9503899111,"info@absinstitutes.com, absie.ngp@gmail.com",http://www.absinstitutes.com/
"A B S S Institute Of Technology, Meerut","Mawana Road, Opp. Idea Technology Centre, Meerut,MeerutUttar Pradesh250341 ",Meerut,Uttar Pradesh, 0121-2622019 | +91-9997015477 ,admin@abss.edu.in,http://www.abss.edu.in/
"A C College Of Engineering And Technology, Sivagangai","Alagappa Chettiar College Of Engineering And Technology, Karaikudi Sivagangai,SivagangaTamil Nadu630004",Sivagangai,Tamil Nadu,"04565-224535, 04565-224528",principal@accet.edu.in,http://www.accet.edu.in/
"A C College Of Technology, Chennai","Sardar Patel Road, Opposite Gandhi Mandapam Chennai,ChennaiTamil Nadu600025",Chennai,Tamil Nadu,044-22203522,N/A,N/A
"A C E Engineering College, Ghatkesar","Ankushapur, Ghatkesar Mandal, Ghatkesar,RangareddyAndhra Pradesh501301",Ghatkesar,Andhra Pradesh,08415-200299,aceenggcollege@gmail.com,http://aceec.ac.in/
"A C M E College Of Engineering, Ghaziabad","4th Km Stone, Ganga Canal Road, Muradnagar,  Ghaziabad,GhaziabadUttar Pradesh201206 ",Ghaziabad,Uttar Pradesh,+91-9634097663/64/66/69,acmece@gmail.com,http://www.acmece.com
"A C N College Of Engineering And Management Studies, Aligarh","ACN City, Kasimpur Power House Road, Aligarh,AligarhUttar Pradesh202002 ",Aligarh,Uttar Pradesh,"9456618910,9927882068,9927319189,09997936453",admissioncounselor@acngroup.in,http://acncems.edu.in/
"A C S College Of Engineering, Bangalore","Kambipura, Mysore Road, Bangalore,BangaloreKarnataka560074",Bangalore,Karnataka,91-80-2843 7955,enquiry@acsce.edu.in,http://www.acsce.edu.in/
"A C T College Of Engineering And Technology, Kanchipuram","No.15, Nelvoy Village Bukkathurai - Uthiramerur High Road Madurandhagam Taluk,Kancheepuram District, Kanchipuram,KanchipuramTamil Nadu603107",Kanchipuram,Tamil Nadu,044 - 27293090,actcet.nelvoy@gmail.com,http://www.actcet.com/
"A D Patel Institute Of Technology, Anand","New Vallabh Vidhyanagar, Post Box:-52 , Vitthal Udyognagar, Anand,AnandGujarat388121 ",Anand,Gujarat,+91-2692-233680,principal@adit.ac.in,http://www.adit.ac.in/
"A G Patil Institute Of Technology, Sholapur","18/ [2 A 2] 2 ,Pratap Nagar , Opp.SRP Camp Vijapur Road,  Sholapur,SholapurMaharashtra413008",Sholapur,Maharashtra,"0217-2342499, 6452989",contact@agpit.edu.in,http://www.agpit.edu.in/
"A K R G College Of Engineering And Technology, West Godavari","Nallajerla, West Godavari,West GodavariAndhra Pradesh534112",West,Andhra Pradesh,"(08818) 277991, 277992",N/A,N/A
"A K T Memorial College Of Engineering And Technology, Villupuram","Neelamangalam Village, Kallakurichi, Villupuram,ViluppuramTamil Nadu606202",Villupuram,Tamil Nadu,"(04151) 223577, 227077",aktengg@yahoo.in,N/A
"A M C Engineering College, Bangalore","18th K.M. Bannerghatta Main Road, Bangalore,BangaloreKarnataka560083",Bangalore,Karnataka,"+91 8050050681 , +91 8050050682 /83 / 84 , +91 9972937322",admissionamcec@amceducation.in,http://www.amcgroup.edu.in
"A M Reddy Memorial College Of Engineering And Technology, Guntur","A.M. Reddy Nagar, Petlurivaripalem, Vinukonda Road, Narasaraopet , Guntur,GunturAndhra Pradesh522601 ",Guntur,Andhra Pradesh,"08647 247190, 98664 14252 ",principal@amreddyengineering.com ,http://www.amreddyengineering.com
"A N A College Of Engineering And Management Studies, Bareilly","Agras Road, Near Rubber Factory, Bareilly, Delhi Road, NH-24, P.O V. Bhitaura, Bareilly,BareillyUttar Pradesh243501",Bareilly,Uttar Pradesh,"+91-8937-002-818, +91-8937-002-804",info@anacollege.org,www.anacollege.org
"A P S College Of Engineering, Bangalore","Somanahalli, Kanakapura Road,  Bangalore,BangaloreKarnataka500082",Bangalore,Karnataka,"+91-8884012324 , +9180-28432108, 28432106 ",principal@apsce.ac.in,http://www.apsce.ac.in/
"A P Shah Institute Of Technology, Thane","Survey No. 12, Opp. Hypercity, Kasar Vadawali, Ghod Bunder Road, Thane (W), Thane,ThaneMaharashtra400615 ",Thane,Maharashtra,"(91)(022)25973737, (91)(022)25973738",principal@apsit.org.in,www.apsit.org.in
"A R College Of Engineering And Technology, Tirunelveli","Therkumadathoor, Near Railway Station, Kadayam Ambasamudram Taluk, Tirunelveli,TirunelveliTamil Nadu627423",Tirunelveli,Tamil Nadu,"7373033001, 9487833007",info@arcet.in,www.apsce-blr.org
"A R Engineering College, Villupuram","Vadakuchipalayam,  Kappiyampuliyur(Post), Villupuram,ViluppuramTamil Nadu605601",Villupuram,Tamil Nadu,"04146- 232131,321583",arec.ao@gmail.com,http://www.arenggc.com/
"A R J College Of Engineering And Technology, Mannargudi","Thiruma Kottai Main Road, Mannargudi Taluk, Edayanatham Village Mannargudi,TiruvarurTamil Nadu614001",Mannargudi,Tamil Nadu, 04367 - 22 33 33/22 44 44/22 55 55 ,arjcet@arj.edu.in ,http://www.arj.edu.in/
"A R M College Of Engineering And Technology, Chennai","Marai Malai Nagar, Chennai,KanchipuramTamil Nadu603209",Chennai,Tamil Nadu,"+91 44 37411244, 9380468333/555/777",admin@armenggcollege.com,http://www.armenggcollege.com/
"A S M R Institute Of Technology And Management, Mathura","Krishna Vihar Colony Panchvati Raya Road Jamunapar, Mathura,MathuraUttar Pradesh",Mathura,Uttar Pradesh,"9319905986, 9997387362, 9997612073",asmr.mathura@gmail.com,N/A
"A T M E College Of Engineering, Mysore","#2904, 2nd Floor, Kantharaj Urs Road, Next to Fire Brigade, Saraswathipuram, Mysore,MysoreKarnataka570009",Mysore,Karnataka,"+91-821-41 91 551, +91-821-41 91 552",info@atme.in,http://www.atme.in/
"A V C College Of Engineering, Mayiladuthurai","Mannampandal, Mayiladuthurai,NagapattinamTamil Nadu609305",Mayiladuthurai,Tamil Nadu,04364-227202  ,avcce@avccengg.net,http://www.avccengg.net/
